show_id,title,type,director,country,release_year,date_added,genre,duration,content_rating,user_rating,language,views_million
s0001,Distributed transitional ability,Movie,Maria Carson,Japan,1993,2026-05-26,Comedy,121 min,TV-MA,6.0,Japanese,182.8
s0002,Fully-configurable even-keeled migration,Movie,Zachary Maldonado,India,2003,2024-04-20,Mystery,81 min,G,7.1,French,427.3
s0003,Secured zero administration analyzer,Movie,Kimberly Hale,Japan,2002,2019-10-17,Animation,95 min,TV-PG,1.5,Hindi,126.5
s0004,Versatile attitude-oriented secured line,Movie,Karen Martinez,Spain,2005,2020-06-08,,147 min,G,6.6,German,21.7
s0005,Future-proofed scalable architecture,Movie,Crystal Carr,United States,2014,2020-01-05,"Crime, Comedy",169 min,TV-14,3.8,French,30.7
s0006,Exclusive demand-driven synergy,TV Show,Eric Wright,,2012,2025-08-12,Biography,2 Seasons,TV-MA,8.7,Turkish,67.7
s0007,Robust coherent Graphic Interface,Movie,Matthew Wood,United States,2015,2026-01-11,"Sci-Fi, Animation",129 min,TV-PG,4.2,Turkish,431.0
s0008,Universal foreground instruction set,Movie,Kelly Thornton,United Kingdom,2002,2022-10-12,Mystery,144 min,G,1.2,French,382.6
s0009,Progressive well-modulated attitude,Movie,Tony Andrews,France,2000,2026-05-05,"Fantasy, Documentary",170 min,G,6.9,German,103.2
s0010,Centralized composite array,Movie,Andrew Kim,Canada,1995,2021-10-22,Adventure,92 min,R,5.1,French,411.4
s0011,Persevering needs-based budgetary management,Movie,Scott Smith,United Kingdom,2008,2018-08-07,Fantasy,132 min,TV-PG,5.9,Japanese,49.5
s0012,Reactive analyzing definition,Movie,Lucas Butler,Brazil,1991,2019-10-23,"Drama, Horror",96 min,G,1.1,Japanese,6.4
s0013,Quality-focused grid-enabled process improvement,Movie,Veronica Thompson,,1996,2021-01-22,"Drama, Documentary",127 min,TV-MA,7.0,English,26.5
s0014,Digitized well-modulated approach,TV Show,Charles Ellis,Australia,2025,2023-03-14,"Fantasy, Documentary",3 Seasons,R,4.0,German,79.1
s0015,Assimilated composite definition,Movie,Scott Coleman,India,2012,2020-03-13,Action,179 min,TV-MA,3.1,German,27.9
s0016,Innovative high-level data-warehouse,Movie,Brian Sanchez,Australia,2017,2025-06-30,"Animation, Animation",105 min,PG,5.0,German,351.8
s0017,Advanced motivating product,TV Show,,Germany,2011,2026-01-29,Horror,1 Seasons,G,3.1,English,49.6
s0018,Up-sized executive synergy,TV Show,Kayla Smith,,1997,2021-09-10,Romance,8 Seasons,PG-13,4.2,Turkish,364.9
s0019,Cross-group responsive challenge,Movie,Joseph Barrett,India,2009,2022-11-02,Biography,89 min,PG,,Turkish,264.9
s0020,Digitized optimal hub,TV Show,Clifford Edwards,India,2014,2021-05-18,Romance,7 Seasons,PG-13,8.9,Spanish,344.9
s0021,Programmable grid-enabled concept,TV Show,Rodney Henderson,Canada,2002,2022-07-30,Family,5 Seasons,TV-14,8.7,Turkish,151.9
s0022,Operative non-volatile definition,TV Show,Chase Hayden,Brazil,1993,2024-11-16,,4 Seasons,TV-PG,8.4,Korean,82.2
s0023,Multi-channeled local workforce,Movie,,Japan,1990,2018-08-15,Animation,105 min,PG,4.8,Korean,197.1
s0024,De-engineered fresh-thinking matrices,Movie,Justin Lynch,Australia,2002,2021-03-14,Sci-Fi,98 min,G,2.5,Japanese,79.3
s0025,Self-enabling human-resource concept,Movie,Xavier Benjamin,South Korea,2018,2019-07-08,,123 min,TV-14,5.9,Turkish,243.5
s0026,Devolved didactic system engine,TV Show,Elizabeth Hess,Australia,1993,2024-05-22,Biography,8 Seasons,R,4.5,German,393.8
s0027,Re-contextualized fault-tolerant collaboration,Movie,Nathan Robinson,,2014,2021-09-09,"Family, Romance",98 min,G,4.5,Hindi,237.3
s0028,Ergonomic fresh-thinking data-warehouse,TV Show,Derek Bullock,Germany,2007,2020-09-21,Horror,4 Seasons,TV-MA,6.8,Spanish,423.8
s0029,Implemented full-range definition,Movie,Laurie Everett,Italy,2018,2020-02-26,Crime,104 min,TV-14,3.4,Spanish,270.4
s0030,Synchronized systemic Internet solution,Movie,Bryan Ramirez,,2022,2019-08-06,,162 min,PG-13,1.5,Japanese,341.2
s0031,Persevering web-enabled throughput,TV Show,Taylor Phillips,Italy,2003,2022-08-14,Crime,3 Seasons,TV-14,8.8,Hindi,435.0
s0032,Intuitive encompassing success,Movie,Darren Carney,Italy,2003,2022-08-23,Family,97 min,PG,9.3,Spanish,128.6
s0033,Programmable motivating capability,Movie,David Brown,Turkey,2025,2025-01-23,Crime,169 min,PG-13,2.3,French,322.3
s0034,Right-sized optimizing hub,Movie,Tanya Ross,Mexico,2016,2020-07-15,Drama,100 min,TV-PG,5.1,German,357.7
s0035,Distributed mission-critical strategy,TV Show,Manuel Peters,United Kingdom,2009,2020-12-02,Biography,8 Seasons,TV-PG,9.7,Spanish,141.9
s0036,Function-based static array,Movie,Jessica Walker,India,2012,2018-06-22,Romance,147 min,R,5.1,German,218.9
s0037,Innovative 24hour paradigm,Movie,David Johns,Turkey,2018,2019-04-16,Horror,175 min,R,4.4,English,336.2
s0038,Programmable web-enabled hardware,Movie,Ryan Elliott,Canada,2024,2024-02-26,Documentary,169 min,TV-MA,9.1,French,321.1
s0039,Vision-oriented hybrid hub,TV Show,Thomas Nielsen,South Korea,1996,2021-05-04,"Action, Romance",5 Seasons,PG-13,7.2,French,247.7
s0040,Down-sized attitude-oriented info-mediaries,Movie,Valerie Rivers,India,1992,2022-07-02,"Comedy, Drama",82 min,PG,9.4,German,388.6
s0041,Exclusive hybrid throughput,Movie,David Hernandez,Australia,2004,2025-10-04,"Comedy, Drama",147 min,TV-PG,9.8,German,96.0
s0042,Face-to-face secondary complexity,TV Show,Rodney Medina,Japan,2020,2021-01-30,"Sci-Fi, Comedy",5 Seasons,TV-14,8.6,English,352.3
s0043,Enterprise-wide coherent conglomeration,TV Show,,,2012,2022-04-14,Animation,5 Seasons,R,7.1,French,295.3
s0044,Synergistic local product,Movie,Andrew Green,Canada,2011,2025-03-29,Thriller,167 min,PG-13,8.6,German,459.2
s0045,Optional 5thgeneration algorithm,TV Show,Charles Henderson,Germany,2015,2025-05-28,Action,4 Seasons,TV-MA,9.0,Japanese,134.6
s0046,Sharable neutral productivity,Movie,Katie Morgan,France,2015,2025-07-10,Comedy,94 min,G,1.9,Japanese,378.7
s0047,Cloned context-sensitive artificial intelligence,TV Show,Hayden Harris,South Korea,2001,2022-07-23,Adventure,7 Seasons,R,7.2,Spanish,259.0
s0048,Virtual analyzing firmware,Movie,Lori Yang,Japan,2013,2020-07-18,"Romance, Thriller",160 min,R,9.8,Turkish,37.0
s0049,De-engineered user-facing throughput,Movie,Stephanie Gutierrez,Brazil,1993,2018-06-28,"Sci-Fi, Horror",101 min,PG-13,7.6,Turkish,98.4
s0050,Advanced even-keeled help-desk,Movie,Paul Kline,Turkey,2021,2025-10-28,,159 min,TV-MA,6.3,Korean,327.7
s0051,Fundamental coherent knowledgebase,TV Show,,United States,2014,2020-05-31,Documentary,6 Seasons,TV-PG,6.1,Japanese,461.4
s0052,Exclusive didactic circuit,Movie,Sheila Perry,Turkey,1991,2025-09-28,Animation,107 min,TV-MA,1.9,Japanese,279.0
s0053,Cross-group human-resource alliance,TV Show,Gabriel Garcia,France,2022,2024-09-06,"Comedy, Horror",2 Seasons,TV-MA,4.9,German,147.8
s0054,Visionary encompassing help-desk,Movie,Beth Patrick,India,2014,2019-05-05,,168 min,TV-MA,9.8,French,39.2
s0055,Decentralized high-level framework,Movie,,Mexico,2015,2023-07-25,"Drama, Romance",123 min,TV-MA,7.5,German,296.8
s0056,Future-proofed object-oriented data-warehouse,TV Show,Shawn Garcia,United States,1996,2023-10-15,Horror,2 Seasons,TV-14,7.0,Spanish,373.7
s0057,Cloned clear-thinking support,Movie,Barbara Lozano,Australia,2007,2020-05-01,"Family, Biography",154 min,PG-13,8.4,Korean,312.5
s0058,Cross-platform bifurcated frame,Movie,Christopher Barber,Spain,2020,2020-02-11,"Action, Thriller",112 min,TV-MA,9.6,Spanish,436.3
s0059,Upgradable grid-enabled protocol,Movie,Gail Thomas,Mexico,2023,2022-11-01,Horror,160 min,PG-13,3.2,Turkish,172.9
s0060,Virtual object-oriented framework,Movie,Timothy Winters,Turkey,2025,2026-03-13,Biography,98 min,TV-PG,7.8,Japanese,77.3
s0061,Down-sized reciprocal parallelism,Movie,Regina Lee,Germany,2001,2025-01-06,"Fantasy, Sci-Fi",120 min,PG,3.1,Spanish,316.0
s0062,Organic zero-defect Local Area Network,Movie,Donald House,South Korea,1999,2023-08-14,"Sci-Fi, Horror",156 min,TV-PG,7.0,Korean,157.3
s0063,Horizontal high-level success,TV Show,Benjamin Butler,India,2025,2024-03-27,Documentary,6 Seasons,PG-13,4.4,German,159.4
s0064,Seamless heuristic portal,Movie,Daniel Blanchard,Australia,2013,2025-01-02,"Action, Fantasy",144 min,TV-MA,,Japanese,303.0
s0065,Upgradable user-facing protocol,Movie,Mary Nelson,United Kingdom,2005,2019-11-11,Mystery,138 min,PG-13,9.8,Spanish,470.6
s0066,Cross-platform composite benchmark,TV Show,Natalie Robertson,India,2006,2025-10-06,Mystery,7 Seasons,TV-PG,2.0,Korean,245.1
s0067,Front-line national interface,Movie,Patricia Garcia,South Korea,1998,2023-03-03,"Crime, Horror",172 min,R,3.4,Korean,343.6
s0068,Managed 6thgeneration attitude,Movie,William Vaughan,Brazil,1994,2025-08-09,"Fantasy, Fantasy",133 min,PG-13,2.3,Spanish,375.5
s0069,Operative exuding hardware,Movie,David Perez,United Kingdom,2022,2019-10-10,Horror,131 min,PG-13,8.3,English,476.2
s0070,Devolved local emulation,TV Show,Keith Gibson,South Korea,2000,2020-02-03,"Fantasy, Biography",6 Seasons,TV-14,5.9,Turkish,402.9
s0071,Persistent intangible system engine,TV Show,Lisa Wright,United Kingdom,2002,2023-12-14,Thriller,7 Seasons,G,1.8,English,44.0
s0072,Universal bandwidth-monitored collaboration,Movie,Patrick Jones,Mexico,1996,2026-03-30,Family,91 min,TV-14,1.6,German,87.6
s0073,Operative solution-oriented strategy,Movie,Steven Miller,Japan,1993,2025-09-10,Crime,134 min,R,1.6,Hindi,394.8
s0074,Compatible transitional Internet solution,Movie,Glenn Johnson,United States,1993,2025-04-18,"Biography, Biography",163 min,TV-MA,1.4,Turkish,407.4
s0075,Organic logistical interface,Movie,Courtney Green,Brazil,2003,2025-06-05,Thriller,147 min,TV-14,5.8,French,349.8
s0076,Virtual object-oriented open system,TV Show,Julie Mckenzie,Brazil,2002,2025-12-22,Animation,8 Seasons,TV-MA,,Japanese,29.8
s0077,Face-to-face regional adapter,Movie,Sandra Parks,Mexico,2013,2023-05-10,Mystery,126 min,PG-13,1.9,Japanese,221.2
s0078,Multi-tiered systemic service-desk,Movie,Mary Harris,United Kingdom,2017,2021-12-10,Animation,156 min,TV-MA,5.2,Japanese,177.6
s0079,Persevering object-oriented algorithm,Movie,Anthony Richardson,Mexico,1994,2022-07-28,"Comedy, Biography",160 min,PG-13,3.7,German,263.5
s0080,Robust zero tolerance concept,Movie,Rachel Simon,United Kingdom,2012,2024-09-04,Action,129 min,TV-MA,2.1,Hindi,208.8
s0081,Vision-oriented stable groupware,Movie,Mark Smith,South Korea,2009,2019-07-28,Sci-Fi,135 min,G,8.9,Turkish,60.9
s0082,Face-to-face object-oriented capability,Movie,Daniel Jenkins,Japan,2000,2019-05-29,Action,119 min,TV-PG,1.7,English,115.8
s0083,Monitored stable policy,TV Show,Jeanne Rodriguez,Mexico,1991,2024-03-04,Family,5 Seasons,TV-MA,8.0,Turkish,188.0
s0084,Customizable asymmetric system engine,Movie,Daniel Mcguire,Mexico,2014,2025-05-12,Mystery,97 min,TV-PG,3.1,Hindi,175.4
s0085,Customizable homogeneous Local Area Network,Movie,Erica Weiss,United Kingdom,1996,2019-12-30,Biography,179 min,PG-13,1.4,German,82.4
s0086,Re-contextualized dedicated ability,TV Show,,Japan,1997,2023-09-22,Drama,4 Seasons,TV-MA,1.3,German,47.4
s0087,Automated incremental attitude,TV Show,Michael Ramos,South Korea,2007,2021-11-10,"Drama, Sci-Fi",4 Seasons,TV-PG,5.9,French,327.7
s0088,Adaptive eco-centric open architecture,Movie,Michael Parks,India,1997,2021-09-26,"Romance, Drama",128 min,TV-PG,3.4,Korean,359.2
s0089,Implemented responsive focus group,TV Show,Andrew Brady DDS,,2010,2022-07-10,"Biography, Biography",8 Seasons,TV-PG,9.5,Hindi,325.2
s0090,Programmable upward-trending synergy,TV Show,James Long,South Korea,1999,2023-01-16,"Adventure, Comedy",2 Seasons,TV-PG,7.4,Spanish,59.6
s0091,Enhanced radical projection,TV Show,,,2023,2018-11-12,Action,4 Seasons,TV-PG,1.0,Turkish,106.2
s0092,Virtual 5thgeneration Local Area Network,TV Show,Antonio Morris,Spain,2019,2026-01-08,Action,2 Seasons,PG,9.6,Hindi,20.4
s0093,Assimilated stable task-force,Movie,John Wolfe,,1992,2026-02-01,Romance,128 min,PG-13,3.9,Hindi,449.6
s0094,Devolved stable circuit,Movie,Ronald Osborne,India,2010,2023-08-04,Comedy,87 min,G,3.1,English,397.5
s0095,Face-to-face fault-tolerant contingency,Movie,Haley Lane,,2025,2024-06-22,"Animation, Horror",120 min,R,3.0,English,182.0
s0096,Versatile non-volatile array,Movie,,India,2005,2020-01-16,"Romance, Drama",163 min,G,7.5,Japanese,203.0
s0097,Universal multimedia open system,Movie,Alice Nash,France,2020,2020-06-24,Animation,94 min,TV-MA,2.4,French,304.6
s0098,Exclusive zero administration workforce,Movie,Daniel Hoffman DVM,South Korea,2022,2023-04-10,"Family, Romance",84 min,G,4.7,Japanese,443.5
s0099,Compatible responsive Graphic Interface,TV Show,Timothy Atkins,France,2012,2018-08-16,Drama,6 Seasons,TV-PG,2.6,Hindi,149.5
s0100,Pre-emptive real-time budgetary management,Movie,Tiffany Fuentes,United States,2001,2024-03-18,"Sci-Fi, Biography",172 min,PG-13,3.2,Spanish,368.4
s0101,Team-oriented background artificial intelligence,Movie,Kara Ortega,Italy,2016,2025-03-20,Comedy,125 min,G,4.4,Turkish,311.3
s0102,Secured solution-oriented capability,Movie,Robin Carroll,Mexico,2022,2020-11-17,,87 min,PG,3.9,Japanese,480.8
s0103,Configurable uniform circuit,TV Show,Denise Ramos,Brazil,1992,2021-08-24,Horror,7 Seasons,TV-PG,7.2,English,496.7
s0104,Innovative leadingedge function,Movie,Bryan Anderson,Turkey,2021,2023-08-17,Horror,178 min,TV-PG,6.4,Japanese,476.6
s0105,Adaptive logistical firmware,Movie,,France,2025,2020-02-01,"Mystery, Mystery",124 min,R,5.9,German,142.5
s0106,Multi-channeled 5thgeneration knowledgebase,TV Show,Maurice Costa,,1998,2025-07-19,Biography,5 Seasons,G,2.8,German,495.7
